NAVR	36.63	5.82
NBBC	31.0	14.83
NBIX	73.13	39.07
NCMI	29.8	7.38
NCOC	13.5	7.1
NDSN	78.98	27.91
NEOG	35.35	11.87
NEPT	6.09	2.99
NETL	50.65	25.17
NEWS	20.85	13.42
NFBK	13.94	11.4
NFSB	14.48	12.25
NGAS	18.75	5.19
NGBF	12.0	1.35
NHPI	10.73	8.05
NICE	100.0	14.75
NICK	19.6	4.45
NIHD	111.0	103.5
NKBP	9.3	8.06
NKTR	141.5	9.06
NLST	12.64	5.89
NMRX	39.39	8.07
NOBH	35.5	27.75
NOEC	10.1	1.07
NOVB	38.5	11.5
NOVL	69.5	4.83
NPBC	50.0	25.5
NPLA	17.92	7.44
NPSP	58.0	5.05
NRGN	51.63	17.81
NRGP	69.75	47.93
NSANY	27.71	9.13
NSEC	40.0	17.47
NSPH	22.04	12.81
NSSC	23.2	3.75
NSTR	17.75	1.76
NSYS	14.75	3.62
NTAP	248.0	20.76
NTCT	41.25	6.3
NTGR	41.33	28.34
NTLS	33.02	19.16
NTRI	76.33	0.66
NTRS	102.61	52.13
NUTR	27.62	10.27
NVAX	15.55	3.81
NVDA	176.0	9.07
NVGN	31.9	3.39
NVLS	159.88	31.67
NVSL	13.09	10.77
NWFL	36.3	28.6
NWPX	65.19	23.45
NWSA	57.19	13.98
NXST	15.41	0.74
NXTM	15.61	13.12
NXTY	18.75	12.2
NXXI	8.19	0.43
OABC	12.35	11.5
OBAS	45.62	2.52
OBCI	6.09	1.14
OCCF	136.0	1.57
OCFC	38.39	35.38
OCLS	11.48	8.0
OCNW	67.5	18.25
ODFL	40.09	15.66
ODSY	44.79	15.22
OESX	22.46	6.0
OFLX	31.21	18.36
OFSI	11.42	0.01
OGXI	46.88	3.6
OKSB	35.25	17.7
OKSBP	27.99	25.25
OMAB	31.45	9.7
OMCL	31.12	9.1
OMER	9.49	8.6
OMEX	687.0	5.68
OMNI	20.75	5.2
OMPI	25.6	19.2
ONCY	9.84	2.38
ONEQ	112.28	82.22
ONNN	26.81	6.29
ONSM	46.5	0.94
ONXX	61.18	11.69
OPNT	55.75	7.04
OPTR	15.17	6.2
OPTT	20.0	16.1
OPTV	245.75	1.22
OPXT	19.95	2.02
ORBT	14.88	3.79
ORCC	24.5	5.14
ORRF	79.0	40.0
OSBC	66.25	49.0
OSBCP	11.25	3.85
OSBK	10.38	9.0
OSHC	13.83	10.05
OSIP	98.7	8.0
OSIR	29.29	27.15
OSTE	58.62	3.99
OSTK	77.18	13.74
OSUR	19.95	3.41
OTT	24.47	16.2
OTTR	46.15	28.7
OVRL	23.57	6.06
PAAS	44.1	3.75
PACW	62.56	55.56
PAGG	29.59	26.58
PANL	38.5	10.71
PARD	70.0	4.75
PARL	38.48	1.78
PATR	102.0	25.09
PBCT	50.6	8.47
PBHC	32.0	14.12
PBIB	23.8	22.7
PBIP	14.4	13.4
PBNY	48.5	21.48
PBTQ	27.07	19.05
PCCC	70.25	10.69
PCLN	231.49	20.19
PCYC	86.38	3.38
PCYO	150.0	0.42
PDEX	6.06	0.54
PDFS	22.61	18.75
PDLI	338.0	84.31
PEDH	9.3	4.75
PEGA	40.0	9.62
PENN	71.41	38.56
PENX	41.5	17.75
PERF	31.99	15.69
PESI	3.89	2.7
PETD	79.09	6.06
PFBC	67.26	14.25
